time,pair,type,price,amount,total,coin,quote,date,market_close,label_pump,n_exchanges,quote_close_usd,price_usd_equivalent,conversion_status,premium_pct
2022-04-13 13:46:41,WAVES/USD,BUY,21.99,5.44888157,119.82090572,WAVES,USD,2022-04-13,21.6831,0.0,2.0,,21.99,native_usd,1.4153880210855396
2022-04-13 14:30:30,WAVES/USD,BUY,21.99,1.92114762,42.24603616,WAVES,USD,2022-04-13,21.6831,0.0,2.0,,21.99,native_usd,1.4153880210855396
2022-04-13 14:30:44,WAVES/USD,BUY,21.99,3.05997081,67.28875811,WAVES,USD,2022-04-13,21.6831,0.0,2.0,,21.99,native_usd,1.4153880210855396
2022-04-14 12:10:26,WAVES/USD,SELL,23.28219867,0.84224838,19.60939411,WAVES,USD,2022-04-14,21.230150000000002,0.0,2.0,,23.28219867,native_usd,9.665728551140695
2022-04-14 12:10:26,WAVES/USD,SELL,23.28219865,0.46051674,10.72184222,WAVES,USD,2022-04-14,21.230150000000002,0.0,2.0,,23.28219865,native_usd,9.665728456935074
2022-04-14 12:10:26,WAVES/USD,SELL,23.28219867,0.0644269,1.49999988,WAVES,USD,2022-04-14,21.230150000000002,0.0,2.0,,23.28219867,native_usd,9.665728551140695
2022-04-14 12:10:27,WAVES/USD,SELL,23.28219865,0.01467433,0.34165066,WAVES,USD,2022-04-14,21.230150000000002,0.0,2.0,,23.28219865,native_usd,9.665728456935074
2022-04-14 12:10:27,WAVES/USD,SELL,23.28219865,0.73263602,17.05737735,WAVES,USD,2022-04-14,21.230150000000002,0.0,2.0,,23.28219865,native_usd,9.665728456935074
2022-04-14 12:10:28,WAVES/USD,SELL,23.28219865,0.18913856,4.40356152,WAVES,USD,2022-04-14,21.230150000000002,0.0,2.0,,23.28219865,native_usd,9.665728456935074
2022-04-14 12:10:31,WAVES/USD,SELL,23.28219865,0.01396545,0.32514638,WAVES,USD,2022-04-14,21.230150000000002,0.0,2.0,,23.28219865,native_usd,9.665728456935074
2022-04-14 12:11:30,WAVES/USD,SELL,23.28219861,0.0644269,1.49999988,WAVES,USD,2022-04-14,21.230150000000002,0.0,2.0,,23.28219861,native_usd,9.665728268523765
2022-04-14 12:11:30,WAVES/USD,SELL,23.2821986,0.04796672,1.1167707,WAVES,USD,2022-04-14,21.230150000000002,0.0,2.0,,23.2821986,native_usd,9.665728221420956
2022-04-14 12:28:15,WAVES/USD,BUY,23.24999999,0.02,0.46499999,WAVES,USD,2022-04-14,21.230150000000002,0.0,2.0,,23.24999999,native_usd,9.514063678306538
2022-04-14 12:31:08,WAVES/USD,SELL,23.17408914,0.38326663,8.88185504,WAVES,USD,2022-04-14,21.230150000000002,0.0,2.0,,23.17408914,native_usd,9.156502144356015
2022-04-14 12:32:23,WAVES/USD,SELL,23.17408894,1.63673337,37.92980468,WAVES,USD,2022-04-14,21.230150000000002,0.0,2.0,,23.17408894,native_usd,9.15650120229956
2022-04-14 13:42:11,WAVES/USD,SELL,23.55,0.02502496,0.5893378,WAVES,USD,2022-04-14,21.230150000000002,0.0,2.0,,23.55,native_usd,10.927148418640463
2022-04-14 13:44:22,WAVES/USD,SELL,23.68,0.0052306,0.1238606,WAVES,USD,2022-04-14,21.230150000000002,0.0,2.0,,23.68,native_usd,11.539485119040593
2022-04-14 13:45:04,WAVES/USD,SELL,23.68,1.96974444,46.64354833,WAVES,USD,2022-04-14,21.230150000000002,0.0,2.0,,23.68,native_usd,11.539485119040593
2022-04-14 13:46:03,WAVES/USD,SELL,23.979,0.08015915,1.92213625,WAVES,USD,2022-04-14,21.230150000000002,0.0,2.0,,23.979,native_usd,12.947859529960915
2022-04-14 13:46:09,WAVES/USD,SELL,23.979,0.03083061,0.73928719,WAVES,USD,2022-04-14,21.230150000000002,0.0,2.0,,23.979,native_usd,12.947859529960915
2022-04-14 13:46:45,WAVES/USD,SELL,23.979,0.23406804,5.61271753,WAVES,USD,2022-04-14,21.230150000000002,0.0,2.0,,23.979,native_usd,12.947859529960915
2022-04-14 13:46:46,WAVES/USD,SELL,23.979,0.13137402,3.15021762,WAVES,USD,2022-04-14,21.230150000000002,0.0,2.0,,23.979,native_usd,12.947859529960915
2022-04-14 13:46:46,WAVES/USD,SELL,23.979,0.13137403,3.15021786,WAVES,USD,2022-04-14,21.230150000000002,0.0,2.0,,23.979,native_usd,12.947859529960915
2022-04-14 13:46:47,WAVES/USD,SELL,23.979,0.10187764,2.44292392,WAVES,USD,2022-04-14,21.230150000000002,0.0,2.0,,23.979,native_usd,12.947859529960915
2022-04-14 13:46:47,WAVES/USD,SELL,23.979,0.10057136,2.41160064,WAVES,USD,2022-04-14,21.230150000000002,0.0,2.0,,23.979,native_usd,12.947859529960915
2022-04-14 13:46:47,WAVES/USD,SELL,23.979,0.13033275,3.12524901,WAVES,USD,2022-04-14,21.230150000000002,0.0,2.0,,23.979,native_usd,12.947859529960915
2022-04-14 13:46:47,WAVES/USD,SELL,23.979,0.02923363,0.70099321,WAVES,USD,2022-04-14,21.230150000000002,0.0,2.0,,23.979,native_usd,12.947859529960915
