time,pair,type,price,amount,total,coin,quote,date,market_close,label_pump,n_exchanges,premium_pct
2017-01-26 16:35:13,PUTIN/BTC,BUY,1.965e-05,462.88334272,0.00909565,PUTIN,BTC,2017-01-26,,0.0,,
2017-01-26 08:47:27,AV/BTC,SELL,5.29e-06,300.0,0.001587,AV,BTC,2017-01-26,,0.0,,
2017-01-26 07:09:49,TRUMP/BTC,SELL,0.00022777,27.93680432,0.00636316,TRUMP,BTC,2017-01-26,,0.0,,
2017-01-25 22:44:53,TRUMP/BTC,BUY,0.00022002,27.93680432,0.00614665,TRUMP,BTC,2017-01-25,,0.0,,
2017-01-25 20:18:23,IBANK/BTC,SELL,2.33e-06,42.37711864,9.873e-05,IBANK,BTC,2017-01-25,,0.0,,
2017-01-25 20:18:22,IBANK/BTC,SELL,2.33e-06,42.37711864,9.873e-05,IBANK,BTC,2017-01-25,,0.0,,
2017-01-25 20:17:25,IBANK/BTC,SELL,2.35e-06,42.37711864,9.958e-05,IBANK,BTC,2017-01-25,,0.0,,
2017-01-25 20:17:24,IBANK/BTC,SELL,2.35e-06,42.37711864,9.958e-05,IBANK,BTC,2017-01-25,,0.0,,
2017-01-25 20:17:20,IBANK/BTC,SELL,2.35e-06,42.37711864,9.958e-05,IBANK,BTC,2017-01-25,,0.0,,
2017-01-25 20:17:19,IBANK/BTC,SELL,2.35e-06,42.37711864,9.958e-05,IBANK,BTC,2017-01-25,,0.0,,
2017-01-25 20:17:18,IBANK/BTC,SELL,2.35e-06,42.37711864,9.958e-05,IBANK,BTC,2017-01-25,,0.0,,
2017-01-25 20:17:17,IBANK/BTC,SELL,2.35e-06,42.37711864,9.958e-05,IBANK,BTC,2017-01-25,,0.0,,
2017-01-25 20:17:16,IBANK/BTC,SELL,2.35e-06,42.37711864,9.958e-05,IBANK,BTC,2017-01-25,,0.0,,
2017-01-25 20:17:15,IBANK/BTC,SELL,2.35e-06,42.37711864,9.958e-05,IBANK,BTC,2017-01-25,,0.0,,
2017-01-25 20:17:14,IBANK/BTC,SELL,2.35e-06,42.37711864,9.958e-05,IBANK,BTC,2017-01-25,,0.0,,
2017-01-25 20:17:13,IBANK/BTC,SELL,2.35e-06,42.37711864,9.958e-05,IBANK,BTC,2017-01-25,,0.0,,
2017-01-25 20:13:24,IBANK/BTC,SELL,2.38e-06,41.84518828,9.959e-05,IBANK,BTC,2017-01-25,,0.0,,
2017-01-25 20:13:13,IBANK/BTC,SELL,2.38e-06,41.84518828,9.959e-05,IBANK,BTC,2017-01-25,,0.0,,
